Date,Category,Properties,Amount
09/21/2021,HOA,Alta,287.00
09/21/2021,HOA,TorreyHighland,298.00
09/21/2021,HOA,Campo,298.00
09/21/2021,HOA,Poway,298.00
09/21/2021,HOA,SpringBrook,363.00
09/21/2021,HOA,SabreSpring,363.00
09/21/2021,HOA,Heatherton,390.00
09/21/2021,HOA,DelMar,295.00
09/21/2021,HOA,DelMar,120.00
09/21/2021,HOA,Heatherton,158.00
09/24/2021,Utilities,Alva,173.15
10/08/2021,Utilities,TorreyHighland,104.70
10/08/2021,Utilities,Campo,79.84
10/08/2021,Utilities,Poway,101.03
10/21/2021,HOA,Alva,324.00
10/21/2021,HOA,Alta,287.00
10/21/2021,HOA,TorreyHighland,298.00
10/21/2021,HOA,Campo,298.00
10/21/2021,HOA,Poway,298.00
10/21/2021,HOA,SpringBrook,388.00
10/21/2021,HOA,SabreSpring,388.00
10/21/2021,HOA,Heatherton,390.00
10/21/2021,HOA,DelMar,295.00
10/09/2021,Legal & Prof. Fees,Poway,35.00
10/16/2021,Cleaning & Maintenance,Poway,25.43
10/19/2021,Repairs - Plumbing,TorreyHighland,1161.27
10/16/2021,Cleaning & Maintenance,Poway,300.00
10/22/2021,Repairs - Plumbing,Alva,260.00
10/29/2021,Utilities,TorreyHighland,106.08
10/29/2021,Utilities,Campo,72.94
10/29/2021,Utilities,Poway,83.96
10/29/2021,Utilities,Poway,34.34
10/25/2021,Repairs - Misc,TorreyHighland,485.68
10/31/2021,Repairs - Misc,TorreyHighland,75.00
